Map	Place Order	Place Name	Task Order	Task Name	Characters Involved #	Characters Involved	Stars Required	Total star required to complete this Place	Replay Depth (Fresh fresh faces) (total stars % Characters involved) 
Seaside	1	Restaurant	1	Sweep the floor	4	Dale Brewson, Mama Ricci, Stella & Valeria Willson, Jean-Luc Moreau	1	5	1,25
Seaside	1	Restaurant	2	Fix the beams	4	Dale Brewson, Mama Ricci, Stella & Valeria Willson, Jean-Luc Moreau	1	5	1,25
Seaside	1	Restaurant	3	Cover the wall	4	Dale Brewson, Mama Ricci, Stella & Valeria Willson, Jean-Luc Moreau	1	5	1,25
Seaside	1	Restaurant	4	Prepare the Tables	4	Dale Brewson, Mama Ricci, Stella & Valeria Willson, Jean-Luc Moreau	1	5	1,25
Seaside	1	Restaurant	5	Put the lightnings	4	Dale Brewson, Mama Ricci, Stella & Valeria Willson, Jean-Luc Moreau	1	5	1,25
Seaside	2	Cafe	1	Fix the columns	3	Maple Spillman, Eleanor Loafley, Trix Newman	1	5	1,67
Seaside	2	Cafe	2	Change windows	3	Maple Spillman, Eleanor Loafley, Trix Newman	1	5	1,67
Seaside	2	Cafe	3	Sweep the floors	3	Maple Spillman, Eleanor Loafley, Trix Newman	1	5	1,67
Seaside	2	Cafe	4	Change table tops	3	Maple Spillman, Eleanor Loafley, Trix Newman	1	5	1,67
Seaside	2	Cafe	5	Serve Coffee	3	Maple Spillman, Eleanor Loafley, Trix Newman	1	5	1,67
Seaside	3	Fishermen's Jetty	1	Sweep the sand	2	Sergio Marini, Lucas Anderson	1	4	2,00
Seaside	3	Fishermen's Jetty	2	Fix the Boats	2	Sergio Marini, Lucas Anderson	1	4	2,00
Seaside	3	Fishermen's Jetty	3	Catch fish	2	Sergio Marini, Lucas Anderson	1	4	2,00
Seaside	3	Fishermen's Jetty	4	Fly the birds	2	Sergio Marini, Lucas Anderson	1	4	2,00
Seaside	4	Townhall	1	Clean the Floor	3	Mayor Bigcake, Victoria Blackwood, William Garner	1	7	2,33
Seaside	4	Townhall	2	Water the Pants	3	Mayor Bigcake, Victoria Blackwood, William Garner	1	7	2,33
Seaside	4	Townhall	3	Place the Pedestal	3	Mayor Bigcake, Victoria Blackwood, William Garner	1	7	2,33
Seaside	4	Townhall	4	Place the Statue	3	Mayor Bigcake, Victoria Blackwood, William Garner	2	7	2,33
Seaside	4	Townhall	5	Hang Artworks	3	Mayor Bigcake, Victoria Blackwood, William Garner	2	7	2,33
Seaside	5	Amphitheatre	1	Build the Fountain	3	Professor Theodore Delos, Audrey Bennett, Anthony Rossi	2	8	2,67
Seaside	5	Amphitheatre	2	Pave the Road	3	Professor Theodore Delos, Audrey Bennett, Anthony Rossi	2	8	2,67
Seaside	5	Amphitheatre	3	Fill the Water	3	Professor Theodore Delos, Audrey Bennett, Anthony Rossi	2	8	2,67
Seaside	5	Amphitheatre	4	Plant Flowers	3	Professor Theodore Delos, Audrey Bennett, Anthony Rossi	2	8	2,67